N,P,K,temperaturec,temperaturef,ph,rainfall,label
90,42,43,20.87974371,69.58353868,6.502985292,202.9355362,rice
85,58,41,21.77046169,71.18683104,7.038096361,226.6555374,rice
60,55,44,23.00445915,73.40802647,7.840207144,263.9642476,rice
74,35,40,26.49109635,79.68397343,6.980400905,242.8640342,rice
78,42,42,20.13017482,68.23431468,7.628472891,262.7173405,rice
69,37,42,23.05804872,73.5044877,7.073453503,251.0549998,rice
69,55,38,22.70883798,72.87590836,5.70080568,271.3248604,rice
94,53,40,20.27774362,68.49993852,5.718627178,241.9741949,rice
89,54,38,24.51588066,76.12858519,6.685346424,230.4462359,rice
68,58,38,23.22397386,73.80315295,6.336253525,221.2091958,rice
91,53,40,26.52723513,79.74902323,5.386167788,264.6148697,rice
90,46,42,23.97898217,75.16216791,7.50283396,250.0832336,rice
78,58,44,26.80079604,80.24143287,5.108681786,284.4364567,rice
93,56,36,24.01497622,75.2269572,6.98435366,185.2773389,rice
94,50,37,25.66585205,78.19853369,6.94801983,209.5869708,rice
60,48,39,24.28209415,75.70776947,7.042299069,231.0863347,rice
85,38,41,21.58711777,70.85681199,6.249050656,276.6552459,rice
91,35,39,23.79391957,74.82905523,6.970859754,206.2611855,rice
77,38,36,21.8652524,71.35745432,5.953933276,224.5550169,rice
88,35,40,23.57943626,74.44298527,5.85393208,291.2986618,rice
89,45,36,21.32504158,70.38507484,6.442475375,185.4974732,rice
76,40,43,25.15745531,77.28341956,5.070175667,231.3843163,rice
67,59,41,21.94766735,71.50580123,6.012632591,213.3560921,rice
83,41,43,21.0525355,69.8945639,6.254028451,233.1075816,rice
98,47,37,23.48381344,74.27086419,7.375482851,224.0581164,rice
66,53,41,25.0756354,77.13614372,7.778915154,257.0038865,rice
97,59,43,26.35927159,79.44668886,6.286500176,271.3586137,rice
97,50,41,24.52922681,76.15260826,7.070959995,260.2634026,rice
60,49,44,20.77576147,69.39637065,6.244841491,240.0810647,rice
84,51,35,22.30157427,72.14283369,6.043304899,197.9791215,rice
73,57,41,21.44653958,70.60377124,5.824709117,272.2017204,rice
92,35,40,22.17931888,71.92277398,6.357389366,200.0882787,rice
85,37,39,24.52783742,76.15010736,6.364134968,224.6757231,rice
98,53,38,20.26707606,68.48073691,5.01450727,270.4417274,rice
88,54,44,25.7354293,78.32377274,6.149410611,233.1321372,rice
95,55,42,26.79533926,80.23161067,5.950660556,193.3473987,rice
99,57,35,26.75754171,80.16357508,5.960370061,272.2999056,rice
95,39,36,23.86330467,74.95394841,5.561398642,285.2493645,rice
60,43,44,21.01944696,69.83500453,7.416245107,298.4018471,rice
63,44,41,24.17298839,75.5113791,5.583370042,257.0343554,rice
62,42,36,22.78133816,73.00640869,6.430010215,248.7183228,rice
64,45,43,25.62980105,78.13364189,5.534878156,209.9001977,rice
83,60,36,25.59704938,78.07468888,6.903985986,200.834898,rice
82,40,40,23.83067496,74.89521493,6.271478838,298.5601175,rice
85,52,45,26.31355498,79.36439896,7.224285503,265.5355937,rice
91,35,38,24.8972823,76.81510814,6.13428721,183.6793207,rice
76,49,42,24.958779,76.9258022,5.206373153,196.9560008,rice
74,39,38,23.24113501,73.83404302,7.782051313,233.0453455,rice
79,43,39,21.66628296,70.99930933,7.062779015,210.8142087,rice
88,55,45,24.63544858,76.34380744,7.730367824,253.7202781,rice
60,36,43,23.43121862,74.17619352,5.286203711,219.9048349,rice
76,60,39,20.0454142,68.08174556,6.766240045,208.5810155,rice
93,56,42,23.85724032,74.94303258,7.382762603,195.0948311,rice
65,60,43,21.97199397,71.54958915,5.658169482,227.3637009,rice
95,52,36,26.22916897,79.21250415,5.543360238,286.5083725,rice
75,38,39,23.44676801,74.20418242,6.215109715,283.9338466,rice
74,54,38,25.65553461,78.1799623,7.120272972,217.3788583,rice
91,36,45,24.44345477,75.99821859,5.950647577,267.9761948,rice
71,46,40,20.2801937,68.50434866,7.236705436,191.9535738,rice
99,55,35,21.7238313,71.10289634,6.501697816,277.9626192,rice
72,40,38,20.41447029,68.74604652,7.592490617,245.1511304,rice
83,58,45,25.75528612,78.35951502,5.875345751,245.6626799,rice
93,58,38,20.61521424,69.10738563,6.932400225,279.5451717,rice
70,36,42,21.84106875,71.31392375,6.946209881,202.3838319,rice
76,47,42,20.08369642,68.15065356,5.739175027,263.6372176,rice
99,41,36,24.45802087,76.02443757,6.738652179,182.5616319,rice
99,54,37,21.14347496,70.05825493,5.594819626,198.6730942,rice
86,59,35,25.78720567,78.41697021,6.946636369,243.5120414,rice
69,46,41,23.64124821,74.55424678,5.012139669,263.1103304,rice
91,56,37,23.43191632,74.17744938,6.363472208,269.5039162,rice
61,52,41,24.97669518,76.95805132,6.880431223,204.8001847,rice
67,45,38,22.72791041,72.91023874,7.300410836,260.8875056,rice
79,42,37,24.87300744,76.77141339,6.587918708,295.6094492,rice
78,43,42,21.32376327,70.38277389,7.283736617,192.3197536,rice
75,54,36,26.29465461,79.3303783,7.023936392,257.4914906,rice
97,36,45,22.2286982,72.01165676,6.939083505,278.0791793,rice
67,47,44,26.73072391,80.11530304,7.868474653,280.4044392,rice
73,35,38,24.88921174,76.80058113,5.005306977,185.9461429,rice
77,36,37,26.88444878,80.3920078,6.136131869,194.5766559,rice
81,41,38,22.67846116,72.82123009,7.524080076,200.9133156,rice
68,57,43,26.08867875,78.95962175,5.706943251,182.9043504,rice
72,45,35,25.42977518,77.77359532,5.758506323,195.3574542,rice
61,53,43,26.40323239,79.5258183,6.349606327,223.3671883,rice
67,43,39,26.04371967,78.87869541,5.999969026,186.7536773,rice
67,58,39,25.2827223,77.50890014,5.453592032,220.1156708,rice
66,60,38,22.08576562,71.75437812,6.372576327,231.7364957,rice
82,43,38,23.28617173,73.91510911,5.105588355,242.3170629,rice
84,50,44,25.48591986,77.87465575,5.935344406,182.6549356,rice
81,53,42,23.67575393,74.61635707,5.17782304,233.7034975,rice
91,50,40,20.82477109,69.48458796,6.462391607,230.2242223,rice
93,53,38,26.92995077,80.47391139,7.069172227,290.6793783,rice
90,44,38,23.83509503,74.90317105,7.473134377,241.2013513,rice
81,45,35,26.52872817,79.75171071,6.158376967,218.9163567,rice
78,40,38,26.46428311,79.6357096,7.549873681,248.2256491,rice
60,51,36,22.69657794,72.85384029,6.028321558,256.9964761,rice
88,46,42,22.68319059,72.82974306,6.604993475,194.2651719,rice
93,47,37,21.53346343,70.76023417,6.500343222,295.9248796,rice
60,55,45,21.40865769,70.53558384,5.935745417,287.5766935,rice
78,35,44,26.54348085,79.77826553,7.072655622,183.6222657,rice
65,37,40,23.35905428,74.0462977,5.333322606,188.413665,rice
71,54,16,22.61359953,72.70447915,5.749914421,87.75953857,maize
61,44,17,26.10018422,78.9803316,6.931756558,102.2662445,maize
80,43,16,23.55882094,74.40587769,6.657964753,66.71995467,maize
73,58,21,19.97215954,67.94988717,6.596060648,60.65171481,maize
61,38,20,18.47891261,65.2620427,5.970458434,65.43835393,maize
68,41,16,21.77689322,71.1984078,6.158830619,102.0861694,maize
93,41,17,25.6217169,78.11909042,6.047906679,105.4654703,maize
89,60,19,25.19192419,77.34546354,5.913664501,78.06639649,maize
76,44,17,20.41683147,68.75029665,5.855442401,65.27798457,maize
67,60,25,24.92162194,76.85891949,5.750254943,109.2162279,maize
70,44,19,23.31689124,73.97040423,5.852607099,94.29712821,maize
90,49,21,24.84016732,76.71230118,6.472523287,74.05474936,maize
62,52,16,22.27526694,72.09548049,6.967057762,63.87020584,maize
